rank,city,distance,distance_in_km,cardinal_direction,median_prices
94,Brooklyn,10.2km,10.2,West,681800.00
95,Altona North,10.4km,10.4,West,842100.00
96,Balwyn,10.4km,10.4,East,2337900.00
97,Canterbury,10.5km,10.5,East,2823400.00
98,Glen Huntly,10.8km,10.8,South-east,1122500.00
99,Brighton East,10.9km,10.9,South-east,1888300.00
100,Eaglemont,10.9km,10.9,East,1768000.00
101,Niddrie,10.9km,10.9,North-west,1069100.00
102,Heidelberg Heights,11km,11,North-east,864700.00
103,Heidelberg,11.2km,11.2,North-east,1077900.00
104,Brighton,11.3km,11.3,South,2654300.00
105,Oak Park,11.4km,11.4,North,837700.00
106,Reservoir,11.5km,11.5,North,775400.00
107,Ashburton,11.6km,11.6,East,1752700.00
108,Malvern East,11.6km,11.6,South-east,1946900.00
109,Carnegie,11.8km,11.8,South-east,1203700.00
110,Surrey Hills,11.9km,11.9,East,1879400.00
111,Rosanna,12km,12,North-east,1161000.00
112,Sunshine,12km,12,West,781600.00
113,Hadfield,12.1km,12.1,North,734400.00
114,Ormond,12.1km,12.1,South-east,1385300.00
115,Seaholme,12.1km,12.1,West,1129000.00
116,Burwood,12.3km,12.3,East,1291200.00
117,Strathmore Heights,12.3km,12.3,North-west,914800.00
118,Keilor East,12.4km,12.4,North-west,880800.00
119,Bulleen,12.5km,12.5,East,1259700.00
120,Fawkner,12.5km,12.5,North,703000.00
121,Mont Albert,12.5km,12.5,East,1986700.00
122,Murrumbeena,12.5km,12.5,South-east,1307900.00
123,Regent West,12.5km,12.5,North,
124,McKinnon,12.6km,12.6,South-east,1531100.00
125,Ashwood,12.7km,12.7,East,1336400.00
126,Sunshine North,12.7km,12.7,West,687300.00
127,Kingsbury,12.8km,12.8,North-east,735000.00
128,Sunshine West,12.8km,12.8,West,665700.00
129,Glenroy,12.9km,12.9,North,696700.00
130,Mont Albert North,13.1km,13.1,East,1528100.00
131,Airport West,13.2km,13.2,North-west,814300.00
132,Altona,13.2km,13.2,West,965800.00
133,Altona East,13.2km,13.2,West,
134,Bentleigh,13.2km,13.2,South-east,1375400.00
135,Albion,13.3km,13.3,West,696000.00
136,Gowanbrae,13.4km,13.4,North-west,744400.00
137,Hughesdale,13.5km,13.5,South-east,1198100.00
138,Macleod,13.5km,13.5,North-east,913300.00
139,Box Hill,13.7km,13.7,East,1725700.00
140,Hampton,13.8km,13.8,South,1934100.00
141,Box Hill South,14km,14,East,1241800.00
142,Chadstone,14.1km,14.1,East,1024300.00
143,Keilor Park,14.1km,14.1,North-west,732500.00
144,Bentleigh East,14.2km,14.2,South-east,1223900.00
145,Viewbank,14.4km,14.4,North-east,979500.00
146,Ardeer,14.5km,14.5,West,643300.00
147,Box Hill North,14.5km,14.5,East,1223700.00
